## EBV sequence (NC_007605.1) proportion in each contig was detected by blastn.
## Output columns description:
## [0] Reference_ID: Contig names
## [1] Total_Length: The length of contig sequence (bp)
## [2] Covered_Length: Total non-overlapping bases covered by EBV
## [3] Coverage(%): Percentage of contig sequence covered (Covered_Length/Total_Length)
## [4] Average_Identity(%): Weighted average identity of all aligned segments
#Reference_ID	Total_Length	Covered_Length	Coverage(%)	Average_Identity(%)
HIFI032167D#2#h2tg001264l	16765	16765	100.00%	99.85%
HIFI032182D#1#h1tg000263c	206375	206375	100.00%	99.42%
HIFI032182D#2#h2tg000334c	154210	154210	100.00%	98.98%
HIFI032236D#1#h1tg002171l	205703	205703	100.00%	98.83%
HIFI032236D#1#h1tg005643l	48823	48823	100.00%	98.63%
HIFI032236D#1#h1tg004733l	47645	47645	100.00%	98.12%
HIFI032236D#1#h1tg002652l	33912	33912	100.00%	96.89%
HIFI032236D#1#h1tg005558l	43034	43034	100.00%	97.89%
HIFI032236D#1#h1tg005360l	38614	38614	100.00%	97.81%
HIFI032236D#1#h1tg005707l	13853	13853	100.00%	92.29%
HIFI032236D#2#h2tg002459c	162305	162305	100.00%	99.04%
HIFI032237D#1#h1tg001420c	169663	169663	100.00%	99.07%
HIFI032237D#2#h2tg001538c	152922	152922	100.00%	98.94%
HIFI032257D#1#h1tg000781l	220702	220702	100.00%	98.90%
HIFI032257D#1#h1tg002360l	61514	61514	100.00%	98.50%
HIFI032257D#1#h1tg002442l	34847	34847	100.00%	96.44%
HIFI032257D#1#h1tg002568l	25690	25690	100.00%	94.44%
HIFI032257D#1#h1tg002541l	26444	26444	100.00%	98.46%
HIFI032257D#1#h1tg002414l	30387	30387	100.00%	95.11%
HIFI032257D#1#h1tg002552l	22385	22385	100.00%	93.60%
HIFI032257D#1#h1tg002580l	18252	18252	100.00%	99.14%
HIFI032257D#1#h1tg002461l	25739	25739	100.00%	95.48%
HIFI032257D#2#h2tg000916l	215033	215033	100.00%	98.82%
HIFI032257D#2#h2tg002741l	35689	35689	100.00%	96.42%
HIFI032257D#2#h2tg002941l	12785	12785	100.00%	99.81%
HIFI032257D#2#h2tg002801l	30387	30387	100.00%	95.11%
HIFI032289D#1#h1tg000255c	177718	177718	100.00%	99.25%
HIFI032289D#2#h2tg000328c	155899	155899	100.00%	98.84%
HIFI032292D#1#h1tg000567l	187185	187185	100.00%	98.54%
HIFI032292D#1#h1tg000992l	53460	53460	100.00%	98.72%
HIFI032292D#1#h1tg001010l	23001	23001	100.00%	99.80%
HIFI032292D#1#h1tg001008l	33178	33178	100.00%	99.40%
HIFI032292D#1#h1tg000760l	27296	27296	100.00%	99.26%
HIFI032292D#1#h1tg001036l	26517	26517	100.00%	94.58%
HIFI032292D#1#h1tg000331l	21392	21392	100.00%	98.80%
HIFI032292D#1#h1tg000989l	26236	26236	100.00%	94.56%
HIFI032292D#1#h1tg001011l	20573	20573	100.00%	93.47%
HIFI032292D#1#h1tg001051l	26977	26977	100.00%	95.11%
HIFI032292D#1#h1tg000855l	29422	29422	100.00%	95.25%
HIFI032292D#2#h2tg000651l	195007	195007	100.00%	98.68%
HIFI032292D#2#h2tg000986l	27228	27228	100.00%	99.85%
HIFI032292D#2#h2tg000843l	42128	42128	100.00%	97.89%
HIFI032292D#2#h2tg001071l	26680	26680	100.00%	99.14%
HIFI032292D#2#h2tg000306l	3336264	22353	0.67%	94.45%
HIFI032302D#1#h1tg000516c	166416	166416	100.00%	99.10%
HIFI032302D#2#h2tg000552c	158811	158811	100.00%	98.93%
HIFI032306D#1#h1tg000343c	179337	179337	100.00%	99.23%
HIFI032306D#1#h1tg000307c	169471	169206	99.84%	98.41%
HIFI032306D#2#h2tg000476c	161624	161624	100.00%	99.06%
HIFI032306D#2#h2tg000397c	159162	158897	99.83%	98.28%
HIFI032335D#1#h1tg000611c	154817	154817	100.00%	98.84%
HIFI032335D#1#h1tg000536l	838458	613	0.07%	97.60%
HIFI032335D#2#h2tg000927c	149848	149848	100.00%	98.86%
HIFI032349D#1#h1tg000591c	166956	166956	100.00%	99.09%
HIFI032349D#1#h1tg000597l	57398	57398	100.00%	98.14%
HIFI032349D#1#h1tg000835l	49879	49879	100.00%	98.33%
HIFI032349D#1#h1tg000903l	29582	29582	100.00%	94.79%
HIFI032349D#1#h1tg000911l	26961	26961	100.00%	94.36%
HIFI032349D#1#h1tg000845c	15360	15360	100.00%	99.85%
HIFI032349D#1#h1tg000872l	22048	22048	100.00%	99.49%
HIFI032349D#1#h1tg000899l	23125	23125	100.00%	95.41%
HIFI032349D#1#h1tg000883l	25089	25089	100.00%	94.99%
HIFI032349D#1#h1tg000976l	15178	15178	100.00%	99.07%
HIFI032349D#2#h2tg000504c	166956	166956	100.00%	99.09%
HIFI032349D#2#h2tg000509l	57398	57398	100.00%	98.14%
HIFI032349D#2#h2tg000754l	29582	29582	100.00%	94.79%
HIFI032349D#2#h2tg000777c	12288	12288	100.00%	99.85%
HIFI032349D#2#h2tg000749l	25089	25089	100.00%	94.99%
HIFI032373D#1#h1tg000462l	185275	185275	100.00%	98.51%
HIFI032373D#1#h1tg000580l	65869	65869	100.00%	98.55%
HIFI032373D#1#h1tg000449l	39636	39636	100.00%	97.85%
HIFI032373D#1#h1tg000663l	29617	29617	100.00%	96.08%
HIFI032373D#1#h1tg000619l	27257	27257	100.00%	95.31%
HIFI032373D#1#h1tg000693l	16700	16700	100.00%	93.95%
HIFI032373D#1#h1tg000682l	19269	19269	100.00%	94.32%
HIFI032373D#1#h1tg000648l	19390	19390	100.00%	94.49%
HIFI032373D#1#h1tg000657l	23763	23763	100.00%	99.28%
HIFI032373D#2#h2tg000506c	158872	158872	100.00%	98.92%
HIFI032373D#2#h2tg000676l	22597	22597	100.00%	99.24%
HIFI032377D#1#h1tg001074c	187775	187775	100.00%	99.34%
HIFI032377D#2#h2tg001226c	161242	161242	100.00%	98.95%
HIFI032403D#1#h1tg000500c	181799	181799	100.00%	99.26%
HIFI032403D#2#h2tg001366l	128942	128942	100.00%	98.74%
HIFI032403D#2#h2tg001011l	119296	119296	100.00%	98.69%
HIFI032403D#2#h2tg002131l	52717	52717	100.00%	98.72%
HIFI032403D#2#h2tg002096l	24230	24230	100.00%	99.81%
HIFI032410D#1#h1tg000675c	166421	166421	100.00%	99.09%
HIFI032410D#1#h1tg001626l	108098	108098	100.00%	98.33%
HIFI032410D#1#h1tg001951l	42658	42658	100.00%	98.13%
HIFI032410D#1#h1tg001969l	44100	44100	100.00%	98.11%
HIFI032410D#1#h1tg002020l	27505	27505	100.00%	94.55%
HIFI032410D#1#h1tg002018l	28941	28941	100.00%	94.98%
HIFI032410D#1#h1tg001976l	24244	24244	100.00%	99.00%
HIFI032410D#1#h1tg002079l	15643	15643	100.00%	99.53%
HIFI032410D#2#h2tg001816l	62546	62546	100.00%	99.86%
HIFI032410D#2#h2tg001906l	31760	31760	100.00%	98.55%
HIFI032410D#2#h2tg002013l	14851	14851	100.00%	96.47%
HIFI032420D#1#h1tg000282c	151488	151488	100.00%	98.86%
HIFI032420D#2#h2tg000280c	155455	155455	100.00%	98.97%
HIFI032421D#1#h1tg002214l	83237	83237	100.00%	99.78%
HIFI032421D#1#h1tg001934l	105323	105323	100.00%	98.64%
HIFI032421D#1#h1tg000634l	118570	118570	100.00%	98.97%
HIFI032421D#1#h1tg002623l	40371	40371	100.00%	95.84%
HIFI032421D#1#h1tg003088l	16355	16355	100.00%	99.75%
HIFI032421D#1#h1tg002890l	26230	26230	100.00%	95.12%
HIFI032421D#1#h1tg002693l	25427	25427	100.00%	95.09%
HIFI032421D#1#h1tg003298l	21921	21921	100.00%	94.51%
HIFI032421D#1#h1tg002497l	28119	28119	100.00%	95.62%
HIFI032421D#2#h2tg000634l	185386	185386	100.00%	99.10%
HIFI032421D#2#h2tg001847l	88507	88507	100.00%	98.55%
HIFI032421D#2#h2tg002797l	26230	26230	100.00%	95.12%
HIFI032421D#2#h2tg002998l	25829	25829	100.00%	94.70%
HIFI032421D#2#h2tg002624l	25427	25427	100.00%	95.09%
HIFI032421D#2#h2tg000120l	3637705	255	0.01%	99.61%
HIFI032422D#1#h1tg000450l	216882	216882	100.00%	98.90%
HIFI032422D#1#h1tg000776l	54804	54804	100.00%	98.54%
HIFI032422D#1#h1tg000531l	48087	48087	100.00%	98.52%
HIFI032422D#1#h1tg000820l	17476	17476	100.00%	98.40%
HIFI032422D#2#h2tg000565l	184675	184675	100.00%	99.29%
HIFI032422D#2#h2tg000911l	54804	54804	100.00%	98.54%
HIFI032429D#1#h1tg000537l	212459	212459	100.00%	98.79%
HIFI032429D#1#h1tg000807l	21463	21463	100.00%	93.32%
HIFI032429D#1#h1tg000790l	24613	24613	100.00%	94.87%
HIFI032429D#1#h1tg000705l	20689	20689	100.00%	94.53%
HIFI032429D#1#h1tg000757c	3072	3072	100.00%	99.86%
HIFI032429D#2#h2tg000700l	188473	188473	100.00%	98.73%
HIFI032429D#2#h2tg000751l	52804	52804	100.00%	98.51%
HIFI032429D#2#h2tg000794c	3072	3072	100.00%	99.86%
HIFI032440D#1#h1tg000267c	172186	172186	100.00%	99.10%
HIFI032440D#1#h1tg000505l	22577	22577	100.00%	94.04%
HIFI032440D#1#h1tg000309l	146465	1536	1.05%	99.28%
HIFI032440D#2#h2tg000294c	172186	172186	100.00%	99.10%
HIFI032440D#2#h2tg000331l	146465	1536	1.05%	99.28%
HIFI032450D#1#h1tg000292c	164819	164819	100.00%	99.10%
HIFI032450D#2#h2tg000385c	165021	165021	100.00%	98.95%
HIFI032453D#1#h1tg000193l	227364	227364	100.00%	98.81%
HIFI032453D#1#h1tg000355l	24066	24066	100.00%	99.33%
HIFI032453D#1#h1tg000398l	45128	45128	100.00%	98.16%
HIFI032453D#1#h1tg000362l	48461	48461	100.00%	98.33%
HIFI032453D#1#h1tg000410l	37444	37444	100.00%	98.01%
HIFI032453D#1#h1tg000379l	34323	34323	100.00%	97.26%
HIFI032453D#1#h1tg000430l	20030	20030	100.00%	93.08%
HIFI032453D#1#h1tg000454l	14559	14559	100.00%	99.14%
HIFI032453D#2#h2tg000319l	210311	210311	100.00%	98.77%
HIFI032453D#2#h2tg000182l	29494	29494	100.00%	96.35%
HIFI032454D#1#h1tg000467c	496163	496162	100.00%	99.08%
HIFI032454D#1#h1tg000586l	119834	119834	100.00%	98.97%
HIFI032454D#1#h1tg000661l	67524	67524	100.00%	98.77%
HIFI032454D#1#h1tg000701l	78551	78551	100.00%	99.00%
HIFI032454D#1#h1tg000710l	35577	35577	100.00%	95.83%
HIFI032454D#1#h1tg000695l	33430	33430	100.00%	95.90%
HIFI032454D#1#h1tg000677l	40818	40818	100.00%	97.41%
HIFI032454D#1#h1tg000673l	30969	30969	100.00%	96.42%
HIFI032454D#2#h2tg000330c	159905	159905	100.00%	98.93%
HIFI032454D#2#h2tg000453l	40307	40307	100.00%	100.00%
HIFI032462D#1#h1tg000621c	163722	163722	100.00%	99.10%
HIFI032462D#1#h1tg000691l	60761	60761	100.00%	98.96%
HIFI032462D#1#h1tg000967l	51778	51778	100.00%	97.98%
HIFI032462D#1#h1tg001018l	26571	26571	100.00%	97.88%
HIFI032462D#1#h1tg000833l	43414	43414	100.00%	97.85%
HIFI032462D#2#h2tg000938l	181681	181681	100.00%	99.26%
HIFI032462D#2#h2tg000954l	43414	43414	100.00%	97.85%
HIFI032473D#1#h1tg000288c	171908	171908	100.00%	99.22%
HIFI032473D#2#h2tg000466c	148959	148959	100.00%	98.79%
HIFI032487D#1#h1tg000132c	222141	222141	100.00%	99.50%
HIFI032487D#1#h1tg000734l	43621	43621	100.00%	99.84%
HIFI032487D#1#h1tg000848l	16051	16051	100.00%	99.76%
HIFI032487D#2#h2tg000656l	155984	155984	100.00%	99.21%
HIFI032487D#2#h2tg000728l	88351	88351	100.00%	98.13%
HIFI032487D#2#h2tg000953l	32211	32211	100.00%	100.00%
HIFI032487D#2#h2tg000885l	24657	24657	100.00%	99.84%
HIFI032487D#2#h2tg000820l	38882	38882	100.00%	97.65%
HIFI032489D#1#h1tg001229c	163569	163569	100.00%	99.04%
HIFI032489D#2#h2tg001161c	141157	141157	100.00%	98.53%
HIFI032489D#2#h2tg001297l	390912	1358	0.35%	99.63%
HIFI032489D#2#h2tg001081l	1241841	682	0.05%	99.71%
HIFI032501D#1#h1tg000500c	168050	168050	100.00%	99.08%
HIFI032501D#1#h1tg000711l	22124	22124	100.00%	99.85%
HIFI032501D#2#h2tg000523c	167398	167398	100.00%	99.09%
HIFI032510D#1#h1tg000495c	177160	177160	100.00%	99.24%
HIFI032510D#1#h1tg000783l	50013	50013	100.00%	98.63%
HIFI032510D#1#h1tg000727l	60702	60702	100.00%	98.82%
HIFI032510D#1#h1tg000601l	61107	61107	100.00%	99.03%
HIFI032510D#2#h2tg000532l	193871	193871	100.00%	98.60%
HIFI032510D#2#h2tg000587l	81661	81661	100.00%	99.23%
HIFI032510D#2#h2tg000583l	29321	29321	100.00%	97.73%
HIFI032513D#1#h1tg000444c	201157	201157	100.00%	99.42%
HIFI032513D#2#h2tg000398c	168038	168038	100.00%	99.08%
HIFI032529D#1#h1tg000457c	164819	164819	100.00%	99.10%
HIFI032529D#2#h2tg000512c	153983	153983	100.00%	98.94%
HIFI032558D#1#h1tg002218c	164884	164884	100.00%	99.10%
HIFI032558D#1#h1tg003065l	232714	953	0.41%	98.20%
HIFI032558D#1#h1tg000295l	340279	439	0.13%	99.09%
HIFI032558D#2#h2tg003079c	154867	154867	100.00%	98.91%
HIFI032558D#2#h2tg003344l	232714	953	0.41%	98.20%
HIFI032558D#2#h2tg005452l	91860	702	0.76%	99.72%
HIFI032558D#2#h2tg005964l	91405	309	0.34%	99.68%
HIFI032566D#1#h1tg000382c	168064	168064	100.00%	99.08%
HIFI032566D#2#h2tg000440c	141709	141709	100.00%	98.54%
HIFI032566D#2#h2tg000398l	31995	31995	100.00%	95.20%
HIFI032566D#2#h2tg000513l	39532	39532	100.00%	96.43%
HIFI032566D#2#h2tg000462l	58387	58387	100.00%	98.04%
HIFI032566D#2#h2tg000486l	22727	22727	100.00%	94.74%
HIFI032567D#1#h1tg000564c	164637	164637	100.00%	99.09%
HIFI032567D#2#h2tg000008c	163235	163235	100.00%	99.11%
HIFI032585D#1#h1tg000469c	160295	160295	100.00%	98.98%
HIFI032585D#2#h2tg000503c	146778	146778	100.00%	98.77%
HIFI032586D#1#h1tg000274c	168050	168050	100.00%	99.09%
HIFI032586D#2#h2tg000457c	159137	159137	100.00%	98.99%
HIFI032591D#1#h1tg000414c	181563	181563	100.00%	99.17%
HIFI032591D#1#h1tg000794l	27345	27345	100.00%	99.26%
HIFI032591D#2#h2tg000462l	168400	168400	100.00%	99.22%
HIFI032591D#2#h2tg000719l	79633	79633	100.00%	98.83%
HIFI032604D#1#h1tg000339l	235189	235189	100.00%	99.06%
HIFI032604D#1#h1tg000503l	63680	63680	100.00%	98.91%
HIFI032604D#1#h1tg000097l	75411	75411	100.00%	98.86%
HIFI032604D#1#h1tg000462l	57388	57388	100.00%	98.88%
HIFI032604D#1#h1tg000490l	51062	51062	100.00%	98.78%
HIFI032604D#2#h2tg000392l	227455	227455	100.00%	99.04%
HIFI032604D#2#h2tg000463l	49558	49558	100.00%	98.47%
HIFI032604D#2#h2tg000484l	36164	36164	100.00%	95.91%
HIFI032604D#2#h2tg000507l	31528	31528	100.00%	95.60%
HIFI032604D#2#h2tg000489l	32001	32001	100.00%	96.16%
HIFI032604D#2#h2tg000523l	24680	24680	100.00%	99.44%
HIFI032604D#2#h2tg000526l	30699	30699	100.00%	96.89%
HIFI032604D#2#h2tg000486l	24488	24488	100.00%	94.55%
HIFI032607D#1#h1tg000241c	173939	173939	100.00%	98.91%
HIFI032607D#1#h1tg000366l	230104	230091	99.99%	99.38%
HIFI032607D#1#h1tg000462l	33584	33584	100.00%	97.77%
HIFI032607D#2#h2tg000296c	173939	173939	100.00%	98.91%
HIFI032607D#2#h2tg000422l	194780	194780	100.00%	98.56%
HIFI032607D#2#h2tg000401l	31188	31188	100.00%	95.04%
HIFI032662D#1#h1tg000498c	173173	173173	100.00%	99.17%
HIFI032662D#2#h2tg000629c	157698	157698	100.00%	99.00%
HIFI032668D#1#h1tg000422c	167401	167401	100.00%	99.15%
HIFI032668D#2#h2tg000492c	147875	147875	100.00%	98.76%
HIFI032682D#1#h1tg000490c	185388	185388	100.00%	99.30%
HIFI032682D#2#h2tg000470c	175486	175486	100.00%	99.23%
HIFI032685D#1#h1tg000401c	157077	157077	100.00%	99.00%
HIFI032685D#1#h1tg000516l	54566	54566	100.00%	98.64%
HIFI032685D#1#h1tg000398c	165077	165077	100.00%	98.10%
HIFI032685D#1#h1tg000976l	37247	37247	100.00%	95.97%
HIFI032685D#1#h1tg000674l	41358	41358	100.00%	97.26%
HIFI032685D#2#h2tg000733l	54645	54645	100.00%	98.62%
HIFI032685D#2#h2tg000371c	165077	165077	100.00%	98.10%
HIFI032685D#2#h2tg000493l	49369	49369	100.00%	98.54%
HIFI032685D#2#h2tg000739l	41954	41954	100.00%	98.28%
HIFI032685D#2#h2tg000617l	41358	41358	100.00%	97.26%
HIFI032692D#1#h1tg000356c	164846	164846	100.00%	99.34%
HIFI032692D#2#h2tg000381c	161747	161747	100.00%	99.04%
HIFI032693D#1#h1tg000261l	68780	68780	100.00%	99.65%
HIFI032693D#1#h1tg000463l	46232	46232	100.00%	99.58%
HIFI032693D#1#h1tg000455l	45178	45178	100.00%	99.56%
HIFI032693D#1#h1tg000274l	43062	43062	100.00%	99.91%
HIFI032693D#1#h1tg000433l	46656	46656	100.00%	99.61%
HIFI032693D#1#h1tg000301l	41823	41823	100.00%	99.92%
HIFI032693D#1#h1tg000431l	41379	41379	100.00%	99.47%
HIFI032693D#1#h1tg000451l	40570	40570	100.00%	99.54%
HIFI032693D#1#h1tg000277l	49762	49762	100.00%	99.86%
HIFI032693D#1#h1tg000300l	38923	38923	100.00%	99.83%
HIFI032693D#1#h1tg000309l	37616	37616	100.00%	99.83%
HIFI032693D#1#h1tg000381l	37654	37654	100.00%	99.61%
HIFI032693D#1#h1tg000446l	37380	37380	100.00%	99.44%
HIFI032693D#1#h1tg000457l	37127	37127	100.00%	99.52%
HIFI032693D#1#h1tg000424l	37031	37031	100.00%	99.53%
HIFI032693D#1#h1tg000244l	36827	36827	100.00%	99.67%
HIFI032693D#1#h1tg000234l	36405	36405	100.00%	99.47%
HIFI032693D#1#h1tg000462l	36823	36823	100.00%	99.91%
HIFI032693D#1#h1tg000402l	35886	35886	100.00%	99.95%
HIFI032693D#1#h1tg000273l	36154	36154	100.00%	99.51%
HIFI032693D#1#h1tg000423l	35090	35090	100.00%	99.91%
HIFI032693D#1#h1tg000483l	35099	35099	100.00%	99.79%
HIFI032693D#1#h1tg000467l	34440	34440	100.00%	99.71%
HIFI032693D#1#h1tg000137l	34377	34357	99.94%	99.84%
HIFI032693D#1#h1tg000458l	34342	34342	100.00%	99.92%
HIFI032693D#1#h1tg000390l	33898	33898	100.00%	99.35%
HIFI032693D#1#h1tg000243l	33949	33949	100.00%	99.59%
HIFI032693D#1#h1tg000403l	36581	36581	100.00%	99.21%
HIFI032693D#1#h1tg000324l	33590	33590	100.00%	99.65%
HIFI032693D#1#h1tg000237l	33152	33152	100.00%	99.80%
HIFI032693D#1#h1tg000114l	33119	33119	100.00%	99.52%
HIFI032693D#1#h1tg000395l	39718	39718	100.00%	99.72%
HIFI032693D#1#h1tg000394l	32148	32148	100.00%	99.79%
HIFI032693D#1#h1tg000491l	31798	31798	100.00%	99.84%
HIFI032693D#1#h1tg000384l	31645	31645	100.00%	99.15%
HIFI032693D#1#h1tg000337l	31320	31320	100.00%	99.92%
HIFI032693D#1#h1tg000205l	30479	30479	100.00%	99.94%
HIFI032693D#1#h1tg000269l	39969	39969	100.00%	99.79%
HIFI032693D#1#h1tg000375l	39016	39016	100.00%	99.37%
HIFI032693D#1#h1tg000276l	32803	32803	100.00%	99.84%
HIFI032693D#1#h1tg000285l	30171	30171	100.00%	99.85%
HIFI032693D#1#h1tg000339l	30160	30160	100.00%	99.84%
HIFI032693D#1#h1tg000405l	45797	45797	100.00%	99.78%
HIFI032693D#1#h1tg000386l	29704	29704	100.00%	99.43%
HIFI032693D#1#h1tg000469l	29612	29612	100.00%	99.23%
HIFI032693D#1#h1tg000319l	41166	41166	100.00%	99.75%
HIFI032693D#1#h1tg000484l	30049	30043	99.98%	98.74%
HIFI032693D#1#h1tg000399l	29431	29429	99.99%	99.86%
HIFI032693D#1#h1tg000449l	29329	29329	100.00%	99.99%
HIFI032693D#1#h1tg000316l	29317	29317	100.00%	99.96%
HIFI032693D#1#h1tg000196l	29326	29325	100.00%	99.93%
HIFI032693D#1#h1tg000437l	29221	29219	99.99%	99.32%
HIFI032693D#1#h1tg000379l	29080	29080	100.00%	99.86%
HIFI032693D#1#h1tg000229l	28575	28575	100.00%	99.91%
HIFI032693D#1#h1tg000293l	28763	28763	100.00%	99.29%
HIFI032693D#1#h1tg000281l	37714	37714	100.00%	99.84%
HIFI032693D#1#h1tg000422l	31139	31139	100.00%	99.64%
HIFI032693D#1#h1tg000304l	28257	28257	100.00%	99.85%
HIFI032693D#1#h1tg000378l	28165	28165	100.00%	99.20%
HIFI032693D#1#h1tg000351l	34584	34584	100.00%	98.73%
HIFI032693D#1#h1tg000290l	27443	27443	100.00%	99.33%
HIFI032693D#1#h1tg000352l	27410	27410	100.00%	99.82%
HIFI032693D#1#h1tg000364l	56765	56765	100.00%	99.43%
HIFI032693D#1#h1tg000470l	38781	38778	99.99%	99.35%
HIFI032693D#1#h1tg000358l	35087	35087	100.00%	97.96%
HIFI032693D#1#h1tg000326l	27130	27126	99.99%	99.23%
HIFI032693D#1#h1tg000421l	26841	26841	100.00%	99.77%
HIFI032693D#1#h1tg000397l	26808	26808	100.00%	99.79%
HIFI032693D#1#h1tg000365l	26667	26667	100.00%	99.91%
HIFI032693D#1#h1tg000363l	26351	26351	100.00%	99.28%
HIFI032693D#1#h1tg000387l	26298	26298	100.00%	99.45%
HIFI032693D#1#h1tg000407l	26291	26291	100.00%	99.91%
HIFI032693D#1#h1tg000434l	26031	26031	100.00%	99.28%
HIFI032693D#1#h1tg000220l	26050	26050	100.00%	99.78%
HIFI032693D#1#h1tg000331l	25566	25566	100.00%	99.89%
HIFI032693D#1#h1tg000307l	25055	25055	100.00%	99.40%
HIFI032693D#1#h1tg000391l	35980	35980	100.00%	99.98%
HIFI032693D#1#h1tg000413l	24754	24754	100.00%	99.75%
HIFI032693D#1#h1tg000453l	24533	24533	100.00%	99.88%
HIFI032693D#1#h1tg000272l	24442	24442	100.00%	99.78%
HIFI032693D#1#h1tg000443l	36079	36079	100.00%	99.78%
HIFI032693D#1#h1tg000357l	37459	37459	100.00%	99.82%
HIFI032693D#1#h1tg000313l	39678	39678	100.00%	99.99%
HIFI032693D#1#h1tg000197l	24299	24299	100.00%	99.45%
HIFI032693D#1#h1tg000488l	40109	40109	100.00%	99.72%
HIFI032693D#1#h1tg000459l	35327	35327	100.00%	99.71%
HIFI032693D#1#h1tg000454l	32694	32694	100.00%	99.40%
HIFI032693D#1#h1tg000408l	38738	38738	100.00%	99.33%
HIFI032693D#1#h1tg000353l	22509	22509	100.00%	99.17%
HIFI032693D#1#h1tg000130l	34822	34820	99.99%	98.44%
HIFI032693D#1#h1tg000430l	27524	27524	100.00%	99.96%
HIFI032693D#1#h1tg000362l	32478	32478	100.00%	99.08%
HIFI032693D#1#h1tg000311l	33571	33571	100.00%	99.81%
HIFI032693D#1#h1tg000383l	32711	32711	100.00%	99.84%
HIFI032693D#1#h1tg000193l	26260	26260	100.00%	99.92%
HIFI032693D#1#h1tg000342l	28678	28678	100.00%	99.94%
HIFI032693D#1#h1tg000436l	28959	28957	99.99%	99.11%
HIFI032693D#1#h1tg000440l	30839	30839	100.00%	99.98%
HIFI032693D#1#h1tg000350l	33404	33404	100.00%	99.82%
